City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,kysyl-syr,63.8986,122.7617,4.78,85,71,3.43,RU,1663163495
193,banyo,6.75,11.8167,23.7,79,95,2.8,CM,1663163495
195,rancho santa margarita,33.6409,-117.6031,19.61,90,6,0.45,US,1663163496
196,puerto ayora,-0.7393,-90.3518,18.08,98,100,2.68,EC,1663163497
197,villa nueva,14.5269,-90.5875,18.95,94,75,5.14,GT,1663163498
199,kirakira,-10.4544,161.9205,26.42,83,53,4.13,SB,1663163498
200,sinnamary,5.3833,-52.95,30.12,63,6,3.82,GF,1663163499
201,barrhead,55.7992,-4.3929,18.8,67,21,6.71,GB,1663163500
202,killybegs,54.6333,-8.45,14.84,73,100,5.97,IE,1663163500
203,liberal,37.0431,-100.921,19.08,63,0,4.12,US,1663163501
204,ribeira grande,38.5167,-28.7,25.22,83,40,5.66,PT,1663163204
206,yellowknife,62.456,-114.3525,5.31,93,20,2.06,CA,1663163503
207,norman wells,65.282,-126.8329,1.02,100,75,1.03,CA,1663163504
208,naryan-mar,67.6713,53.087,10.94,79,100,7.27,RU,1663163505
210,la asuncion,11.0333,-63.8628,28.85,79,93,5.66,VE,1663163505
211,ponta delgada,37.7333,-25.6667,27.5,94,75,4.12,PT,1663163506
212,muddebihal,16.3333,76.1333,24.81,75,34,8.04,IN,1663163263
213,cockburn town,21.4612,-71.1419,28.95,71,100,7.34,TC,1663163507
214,vardo,70.3705,31.1107,6.99,70,100,3.09,NO,1663163507
215,pontianak,-0.0333,109.3333,25.99,94,75,0.51,ID,1663163508
216,hovd,48.0056,91.6419,12.75,39,47,1.05,MN,1663163211
217,cap malheureux,-19.9842,57.6142,23.59,59,73,3.13,MU,1663163508
218,adrar,20.5022,-10.0711,41.58,11,9,8.48,MR,1663163508
219,olafsvik,64.8945,-23.7142,7.84,70,100,2.02,IS,1663163509
220,siparia,10.1333,-61.5,29.88,84,25,0.45,TT,1663163509
221,ginda,30.6945,78.4932,18.64,89,92,1.34,IN,1663163510
222,ketchikan,55.3422,-131.6461,7.26,93,0,0,US,1663163510
224,lincoln,40.8,-96.667,22.85,65,0,2.06,US,1663163216
225,porto novo,6.4965,2.6036,28.9,60,55,4.42,BJ,1663163512
226,bandarbeyla,9.4942,50.8122,26.85,75,32,15.05,SO,1663163512
227,bamboo,18.3922,-77.2643,24.13,71,91,2.23,JM,1663163512
228,maloy,61.9353,5.1136,13.74,67,100,5.52,NO,1663163512
229,sioux lookout,50.1001,-91.917,4.04,100,40,0,CA,1663163513
230,sangueya,10.7,-14.3667,26.34,83,99,3.57,GN,1663163513
231,ariano irpino,41.1489,15.0833,29.99,49,0,7.2,IT,1663163514
232,port blair,11.6667,92.75,27.02,83,75,2.06,IN,1663163282
233,srednekolymsk,67.45,153.6833,2.44,70,10,3.45,RU,1663163514
234,batemans bay,-35.7167,150.1833,12.28,92,96,2.04,AU,1663163515
235,tela,15.7833,-87.45,23.97,94,75,0,HN,1663163516
236,cherskiy,68.75,161.3,2.01,91,100,2.57,RU,1663163517
237,paamiut,61.994,-49.6678,6.81,72,100,2.34,GL,1663163517
238,baoning,25.3378,110.026,26.92,74,0,2,CN,1663163518
239,cumra,37.5732,32.7745,24.8,25,0,3.06,TR,1663163518
240,shu,43.5983,73.7614,18.87,25,0,9.11,KZ,1663163519
241,husavik,66.0449,-17.3389,6.07,75,95,4.24,IS,1663163520
243,tazovskiy,67.4667,78.7,6.36,94,100,3.96,RU,1663163522
244,nyrob,60.733,56.7202,10.91,68,20,1.52,RU,1663163522
245,tuktoyaktuk,69.4541,-133.0374,1,86,100,8.23,CA,1663163523
247,afsin,38.2477,36.914,25.13,16,0,3.22,TR,1663163525
248,shache,38.4167,77.2406,25.53,19,8,2.3,CN,1663163525
249,luderitz,-26.6481,15.1594,18.22,63,4,5.46,NA,1663163455
250,antonovo,43.15,26.1667,25.43,27,37,3.48,BG,1663163526
251,bonthe,7.5264,-12.505,25.78,86,100,6.12,SL,1663163527
252,isangel,-19.55,169.2667,23.03,88,9,3.36,VU,1663163527
253,rumphi,-11.0186,33.8575,24.53,35,88,5.54,MW,1663163327
254,cap-chat,49.1001,-66.6821,15,94,100,1.54,CA,1663163528
255,vaitape,-16.5167,-151.75,25.19,74,36,9.77,PF,1663163529
256,tyulgan,52.3405,56.166,18.34,30,92,6.42,RU,1663163529
257,pangkalanbuun,-2.6833,111.6167,23.3,96,97,0.96,ID,1663163530
258,muros,42.7762,-9.0603,22.27,80,76,7.56,ES,1663163307
259,sitka,57.0531,-135.33,13.94,72,75,3.6,US,1663163531
260,hasaki,35.7333,140.8333,22.38,74,100,7.98,JP,1663163237
261,zapolyarnyy,69.4154,30.8136,6.6,95,100,6.94,RU,1663163532
262,longyearbyen,78.2186,15.6401,1.91,80,75,1.03,SJ,1663163344
263,leningradskiy,69.3833,178.4167,1.8,99,100,1.71,RU,1663163532
264,beloha,-25.1667,45.05,20.46,62,97,7.37,MG,1663163326
265,hualmay,-11.0964,-77.6139,16.53,77,48,3.26,PE,1663163533
266,filadelfia,39.9523,-75.1638,21.7,69,20,6.69,US,1663163534
267,tibati,6.4667,12.6333,24.48,73,100,1.36,CM,1663163534
269,kharian,32.8149,73.8636,29.61,60,0,1.39,PK,1663163535
270,contamana,-7.3333,-75.0167,31.28,50,22,1.57,PE,1663163535
271,jacareacanga,-6.2222,-57.7528,34.53,37,78,2.16,BR,1663163536
272,zinder,13.8072,8.9881,33.98,55,20,3.6,NE,1663163536
273,san jose de ocoa,18.55,-70.5,28.01,58,100,1.09,DO,1663163536
274,provideniya,64.3833,-173.3,7.77,94,100,1.71,RU,1663163537
275,hauterive,46.0901,3.4459,25.24,79,95,0.67,FR,1663163537
276,hay river,60.8156,-115.7999,4.99,81,40,2.06,CA,1663163538
277,severo-kurilsk,50.6789,156.125,9.8,88,9,6.33,RU,1663163539
278,andrelandia,-21.7397,-44.3092,26.51,29,99,2.27,BR,1663163539
280,saint-francois,46.4154,3.9054,24.69,69,75,5.14,FR,1663163540
281,pangnirtung,66.1451,-65.7125,6,93,100,0,CA,1663163541
282,laguna,38.421,-121.4238,15.99,85,0,4.12,US,1663163541
283,bermejo,-32.8833,-68.8,13.95,30,0,2.57,AR,1663163542
284,mogadishu,2.0371,45.3438,27.93,74,20,10.29,SO,1663163525
285,poum,-20.2333,164.0167,23.24,75,81,6.91,NC,1663163543
286,broken hill,-31.95,141.4333,15.24,68,75,5.13,AU,1663163543
287,san miguel,13.4833,-88.1833,23.38,96,100,0.59,SV,1663163543
288,lompoc,34.6391,-120.4579,16.12,95,20,2.06,US,1663163544
289,aksu,41.1231,80.2644,25.73,23,0,1.92,CN,1663163544
290,bethel,41.3712,-73.414,20.86,72,0,2.06,US,1663163544
291,turukhansk,65.8167,87.9833,5.62,95,100,2.93,RU,1663163545
292,kidal,18.4411,1.4078,39.51,15,88,1.19,ML,1663163545
293,vila velha,-20.3297,-40.2925,29.97,59,0,5.66,BR,1663163546
294,meulaboh,4.1363,96.1285,26.14,80,100,0.75,ID,1663163546
295,nanortalik,60.1432,-45.2371,8.35,72,79,0.12,GL,1663163547
296,kodinsk,58.6881,99.1844,6.44,66,94,0.93,RU,1663163376
297,whitehorse,60.7161,-135.0538,10.43,62,40,8.75,CA,1663163548
298,ramgarh,23.6333,85.5167,27.03,93,100,2.51,IN,1663163549
299,saint-pierre,-21.3393,55.4781,22.82,78,40,8.75,RE,1663163549
300,miles city,46.4083,-105.8406,16.54,67,0,3.09,US,1663163550
301,fukuma,33.7667,130.4667,29.05,75,18,3.9,JP,1663163550
302,gat,31.61,34.7642,29.67,12,0,5.87,IL,1663163551
303,concordia,-31.393,-58.0209,15.04,77,0,4.12,AR,1663163551
305,esil,51.9556,66.4042,13.76,42,17,1.5,KZ,1663163552
306,hofn,64.2539,-15.2082,11.01,58,20,7.72,IS,1663163553
307,marrakesh,31.6315,-8.0083,28.04,47,40,2.06,MA,1663163553
309,shelburne,44.0787,-80.2041,18.2,93,48,6.86,CA,1663163554
310,bengkulu,-3.8004,102.2655,24.97,88,100,3.39,ID,1663163555
311,chumikan,54.7183,135.315,10.91,56,67,5.64,RU,1663163555
312,vallenar,-28.5708,-70.7581,19.7,25,0,1.2,CL,1663163555
313,dongsheng,39.8161,109.9776,17.06,54,3,3.99,CN,1663163556
314,chernyanka,50.9409,37.8069,9.9,94,100,2.8,RU,1663163557
315,iskateley,67.6803,53.1512,10.89,79,100,7.25,RU,1663163557
316,bulgan,48.8125,103.5347,8.25,83,100,2.08,MN,1663163558
317,tiksi,71.6872,128.8694,2.09,98,100,2.84,RU,1663163558
318,amuntai,-2.4177,115.2494,22.78,95,100,0.7,ID,1663163558
319,esperance,-33.8667,121.9,11.91,79,28,13.94,AU,1663163559
320,valleyview,55.0667,-117.2859,2.02,100,0,2.57,CA,1663163560
321,vila franca do campo,37.7167,-25.4333,27.33,81,22,4.83,PT,1663163560
322,roald,62.5833,6.1333,14.31,76,75,4.63,NO,1663163561
323,kieta,-6.2167,155.6333,25.26,84,38,1.52,PG,1663163561
324,guerrero negro,27.9769,-114.0611,22.15,80,0,2.09,MX,1663163562
325,great falls,47.5002,-111.3008,14.27,94,100,0,US,1663163563
326,hammerfest,70.6634,23.6821,7.25,70,75,5.14,NO,1663163563
327,lazaro cardenas,17.9583,-102.2,25.47,83,100,1.79,MX,1663163565
328,susanville,40.4163,-120.653,3.91,75,0,0,US,1663163565
329,ternate,0.8,127.4,26.96,78,15,1.92,ID,1663163566
330,namibe,-15.1961,12.1522,25.35,65,0,3.09,AO,1663163566
331,tanete,-3.9443,119.7848,24.86,83,100,3.52,ID,1663163567
332,aktau,43.65,51.2,24.32,52,0,6.96,KZ,1663163568
333,ewo,-0.8725,14.8206,33.88,37,38,1.43,CG,1663163568
334,santo andre,-23.6639,-46.5383,16.76,99,75,2.57,BR,1663163569
335,liepaja,56.5419,21.0367,16.99,77,20,7.2,LV,1663163570
336,genhe,50.7833,121.5167,11,69,98,2.12,CN,1663163570
337,anadyr,64.75,177.4833,5.28,86,75,2,RU,1663163571
338,tono,39.3167,141.5333,15.21,88,97,0.45,JP,1663163560
339,urussanga,-28.5178,-49.3208,19.63,60,100,2.39,BR,1663163571
343,carnarvon,-24.8667,113.6333,18.24,64,15,11.22,AU,1663163472
344,mayumba,-3.432,10.6554,25.41,75,78,4.43,GA,1663163573
